IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,27573,10.215.173.2,53,10529,iMPlayer Mobile,com.myiptvonline.implayerm,DNS,Closed,firestore.googleapis.com,70,86,1,1,2026-03-18T19:03:37.130-05:00,2026-03-18T19:03:37.171-05:00
6,10.215.173.1,33840,142.251.210.106,443,10529,iMPlayer Mobile,com.myiptvonline.implayerm,TLS,Closed,firestore.googleapis.com,7002,3069,26,26,2026-03-18T19:03:37.173-05:00,2026-03-18T19:04:46.222-05:00
17,10.215.173.1,27691,10.215.173.2,53,10529,iMPlayer Mobile,com.myiptvonline.implayerm,DNS,Closed,us-central1-myiptvonline-65d6f.cloudfunctions.net,95,111,1,1,2026-03-18T19:03:42.891-05:00,2026-03-18T19:03:42.925-05:00
6,10.215.173.1,37522,216.239.36.54,443,10529,iMPlayer Mobile,com.myiptvonline.implayerm,HTTPS,Closed,us-central1-myiptvonline-65d6f.cloudfunctions.net,1948,13415,10,10,2026-03-18T19:03:42.927-05:00,2026-03-18T19:04:43.433-05:00
17,10.215.173.1,25505,10.215.173.2,53,10529,iMPlayer Mobile,com.myiptvonline.implayerm,DNS,Closed,storage.googleapis.com,68,308,1,1,2026-03-18T19:03:43.098-05:00,2026-03-18T19:03:43.115-05:00
6,10.215.173.1,52562,142.251.41.91,443,10529,iMPlayer Mobile,com.myiptvonline.implayerm,HTTPS,Closed,storage.googleapis.com,1291,1944,9,9,2026-03-18T19:03:43.117-05:00,2026-03-18T19:04:43.434-05:00
17,10.215.173.1,37355,10.215.173.2,53,10529,iMPlayer Mobile,com.myiptvonline.implayerm,DNS,Closed,m3u.best-smarter.me,65,116,1,1,2026-03-18T19:03:43.226-05:00,2026-03-18T19:03:43.385-05:00
6,10.215.173.1,40004,185.245.2.100,80,10529,iMPlayer Mobile,com.myiptvonline.implayerm,HTTP,Closed,m3u.best-smarter.me,41119,17873239,1011,2189,2026-03-18T19:03:43.387-05:00,2026-03-18T19:04:46.222-05:00
6,10.215.173.1,33160,185.245.2.100,80,10529,iMPlayer Mobile,com.myiptvonline.implayerm,HTTP,Closed,m3u.best-smarter.me,63649,78617586,1586,8056,2026-03-18T19:03:59.709-05:00,2026-03-18T19:04:46.222-05:00
6,10.215.173.1,58270,185.245.2.100,80,10529,iMPlayer Mobile,com.myiptvonline.implayerm,HTTP,Closed,m3u.best-smarter.me,101012,123290037,2492,12617,2026-03-18T19:04:12.331-05:00,2026-03-18T19:04:46.222-05:00
6,10.215.173.1,39790,185.245.2.100,80,10529,iMPlayer Mobile,com.myiptvonline.implayerm,HTTP,Closed,m3u.best-smarter.me,564,1032,6,5,2026-03-18T19:04:34.777-05:00,2026-03-18T19:04:46.222-05:00
